               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.018746,           0.0072582,             0.01428,             0.95544,             0.93923,             0.97226,             0.77795,            0.010704,           0.0024908,           0.0041958,             0.07001,           0.0033322,           0.0033322
                   1,            0.020863,           0.0072098,             0.01312,             0.96386,              0.9468,             0.97773,             0.77454,            0.011362,           0.0025043,           0.0037702,            0.039944,           0.0065996,           0.0065996
                   2,            0.023449,           0.0076222,            0.015521,             0.93968,             0.92382,             0.96122,              0.7193,            0.013909,           0.0027271,           0.0061148,            0.009812,           0.0098009,           0.0098009
                   3,            0.025213,           0.0081112,             0.01851,             0.94334,             0.92322,             0.96756,             0.73317,            0.013808,           0.0028896,           0.0054879,            0.009703,            0.009703,            0.009703
                   4,            0.025055,           0.0080938,            0.018966,             0.93888,             0.91695,             0.96519,             0.73717,            0.013918,           0.0028266,           0.0051977,            0.009703,            0.009703,            0.009703
                   5,            0.025144,           0.0080684,            0.018381,             0.93745,              0.9396,              0.9686,             0.73219,             0.01444,           0.0028377,           0.0043963,            0.009604,            0.009604,            0.009604
                   6,            0.024871,           0.0080159,            0.018105,             0.94579,              0.9359,             0.96832,             0.74753,            0.014131,           0.0027826,           0.0050569,            0.009505,            0.009505,            0.009505
                   7,            0.024582,           0.0079258,            0.017923,             0.94509,              0.9372,             0.96773,             0.73963,            0.013623,           0.0027759,           0.0047111,            0.009406,            0.009406,            0.009406
                   8,            0.024491,           0.0078831,            0.017344,             0.95515,             0.93869,             0.97183,             0.74144,            0.013378,           0.0028058,            0.004493,            0.009307,            0.009307,            0.009307
                   9,            0.024239,            0.007875,            0.017332,             0.94767,              0.9427,             0.97501,              0.7497,            0.012643,            0.002712,           0.0044823,            0.009208,            0.009208,            0.009208
                  10,            0.023977,           0.0077775,            0.016987,             0.94884,             0.94109,             0.96932,              0.7404,            0.013356,           0.0027246,           0.0046548,            0.009109,            0.009109,            0.009109
                  11,            0.023726,           0.0079198,            0.016759,             0.96161,             0.93637,             0.97335,             0.75989,            0.012411,           0.0027215,           0.0044995,             0.00901,             0.00901,             0.00901
                  12,            0.024009,           0.0078029,            0.016542,              0.9496,             0.93467,             0.97285,             0.74901,            0.012803,           0.0027299,           0.0046096,            0.008911,            0.008911,            0.008911
                  13,             0.02362,           0.0078043,            0.016204,             0.94856,             0.94793,             0.97578,              0.7565,            0.012475,           0.0026464,             0.00417,            0.008812,            0.008812,            0.008812
                  14,            0.023413,           0.0077502,            0.016087,             0.95334,             0.94397,             0.97392,             0.76803,            0.011849,           0.0026642,           0.0041783,            0.008713,            0.008713,            0.008713
                  15,            0.023569,           0.0077086,            0.016116,             0.95478,             0.94109,              0.9732,             0.76196,            0.012087,           0.0026681,            0.004738,            0.008614,            0.008614,            0.008614
                  16,            0.023511,            0.007703,            0.016005,             0.94621,             0.94499,              0.9747,               0.774,            0.011623,           0.0026849,           0.0045223,            0.008515,            0.008515,            0.008515
                  17,            0.023253,           0.0077511,            0.015501,               0.952,             0.94247,             0.97181,             0.76488,            0.011996,           0.0026495,           0.0040979,            0.008416,            0.008416,            0.008416
                  18,            0.023275,           0.0076188,            0.015233,             0.96155,             0.93983,             0.97417,             0.76909,            0.011619,           0.0026382,           0.0044065,            0.008317,            0.008317,            0.008317
                  19,            0.023238,           0.0076743,            0.015575,             0.95329,              0.9496,             0.97614,             0.77409,            0.011539,           0.0026462,           0.0039658,            0.008218,            0.008218,            0.008218
                  20,            0.022948,           0.0077105,            0.015651,             0.95429,             0.95068,             0.97709,             0.78003,             0.01119,           0.0026352,           0.0038722,            0.008119,            0.008119,            0.008119
                  21,            0.022846,            0.007548,            0.014523,             0.96915,             0.94828,             0.97811,             0.78028,            0.011188,           0.0025731,           0.0040595,             0.00802,             0.00802,             0.00802
                  22,            0.022592,           0.0075619,            0.014557,             0.95922,             0.95415,             0.97584,             0.77774,            0.011071,           0.0025433,           0.0040619,            0.007921,            0.007921,            0.007921
                  23,             0.02261,           0.0075494,            0.014265,             0.96305,             0.95121,             0.97823,             0.78232,            0.011228,           0.0025836,           0.0035303,            0.007822,            0.007822,            0.007822
                  24,            0.022574,           0.0075917,              0.0145,             0.96522,             0.95101,             0.97985,             0.78193,            0.010935,           0.0025405,           0.0034997,            0.007723,            0.007723,            0.007723
                  25,              0.0225,           0.0075583,            0.014281,             0.96311,             0.95384,             0.97793,             0.78387,            0.010785,           0.0025426,           0.0037095,            0.007624,            0.007624,            0.007624
                  26,            0.022357,           0.0075095,            0.013813,             0.95994,             0.95779,             0.97851,             0.78563,              0.0106,           0.0025122,           0.0036225,            0.007525,            0.007525,            0.007525
                  27,            0.022281,           0.0074809,            0.013879,              0.9708,             0.95414,             0.97902,              0.7891,            0.010488,           0.0025498,           0.0033589,            0.007426,            0.007426,            0.007426
                  28,            0.022298,           0.0075284,            0.013818,              0.9617,             0.96158,             0.97949,             0.78586,            0.010628,           0.0025315,           0.0034216,            0.007327,            0.007327,            0.007327
                  29,             0.02227,           0.0074736,            0.013803,             0.96865,             0.95625,             0.97871,             0.78633,            0.010508,           0.0025245,           0.0036565,            0.007228,            0.007228,            0.007228
                  30,            0.022348,           0.0074348,            0.013546,             0.96309,             0.95635,             0.97962,             0.79042,            0.010416,           0.0025184,            0.003578,            0.007129,            0.007129,            0.007129
                  31,            0.021999,           0.0074319,            0.013482,             0.96697,             0.94761,             0.97724,             0.78906,            0.010475,           0.0025113,           0.0038535,             0.00703,             0.00703,             0.00703
                  32,            0.021861,           0.0074556,            0.013306,             0.96006,              0.9557,             0.97741,              0.7903,            0.010453,           0.0025109,           0.0039038,            0.006931,            0.006931,            0.006931
                  33,            0.022018,           0.0074341,            0.013146,             0.95598,             0.96172,             0.97821,             0.79178,            0.010287,           0.0024882,           0.0036288,            0.006832,            0.006832,            0.006832
                  34,            0.021959,           0.0073428,            0.013335,             0.97482,             0.94935,             0.98138,             0.78823,            0.010306,           0.0025113,           0.0033075,            0.006733,            0.006733,            0.006733
                  35,            0.021957,            0.007335,            0.013373,              0.9722,              0.9491,             0.97962,             0.79636,            0.010169,           0.0024532,           0.0035721,            0.006634,            0.006634,            0.006634
                  36,            0.021749,           0.0073568,            0.012834,             0.96894,             0.95237,             0.97885,             0.79117,            0.010223,           0.0024665,           0.0033242,            0.006535,            0.006535,            0.006535
                  37,            0.021414,           0.0073142,            0.012794,             0.96608,             0.95799,             0.97986,             0.79767,            0.010016,           0.0024525,           0.0030812,            0.006436,            0.006436,            0.006436
                  38,             0.02139,            0.007303,             0.01255,             0.97046,              0.9559,             0.97999,             0.79411,            0.010067,           0.0024644,           0.0030738,            0.006337,            0.006337,            0.006337
                  39,            0.021333,           0.0073091,            0.012546,             0.96365,             0.95687,             0.97858,             0.79378,           0.0099248,           0.0024327,            0.003479,            0.006238,            0.006238,            0.006238
                  40,            0.021303,            0.007294,            0.012712,              0.9668,             0.96152,             0.98028,               0.801,           0.0097959,           0.0024251,           0.0034503,            0.006139,            0.006139,            0.006139
                  41,            0.021344,           0.0072951,            0.012078,             0.96747,             0.96343,             0.97901,              0.7964,           0.0098928,           0.0024292,           0.0032672,             0.00604,             0.00604,             0.00604
                  42,            0.021243,           0.0072043,            0.012133,             0.96736,             0.96187,             0.98057,             0.79798,           0.0098987,           0.0024206,           0.0031336,            0.005941,            0.005941,            0.005941
